319 Event 234032, Run 709, Split 47: Ecm = 2.15, Z = 370.26: B
320 Event 887891, Run 837, Split 93: Ecm = 2.15, Z = 245.66: D
321 Event 2410369, Run 678, Split 87: Ecm = 2.15, Z = 246.27: D
322 Event 272655, Run 659, Split 51: Ecm = 2.16, Z = 299.84: B
323 Event 998449, Run 785, Split 18: Ecm = 2.17, Z = 230.87: C
324 Event 812787, Run 841, Split 81: Ecm = 2.17, Z = 248.71: C
325 Event 115018, Run 840, Split 23: Ecm = 2.17, Z = 235.24: D
326 Event 1677646, Run 677, Split 34: Ecm = 2.18, Z = 227.91: B
327 Event 758415, Run 686, Split 56: Ecm = 2.18, Z = 252.93: B
328 Event 233718, Run 787, Split 49: Ecm = 2.18, Z = 251.25: A
329 Event 480590, Run 837, Split 6: Ecm = 2.18, Z = 285.32: D
330 Event 619743, Run 674, Split 46: Ecm = 2.18, Z = 247.63: A
331 Event 2469322, Run 943, Split 11: Ecm = 2.19, Z = 272.45: D
332 Event 1012472, Run 811, Split 19: Ecm = 2.19, Z = 222.53: D
333 Event 1013677, Run 662, Split 61: Ecm = 2.19, Z = 253.97: D
334 Event 1522287, Run 772, Split 20: Ecm = 2.19, Z = 277.25: C
335 Event 4212449, Run 682, Split 67: Ecm = 2.19, Z = 244.52: A
336 Event 70746, Run 750, Split 14: Ecm = 2.20, Z = 240.72: A
337 Event 566281, Run 833, Split 94: Ecm = 2.20, Z = 257.12: A
338 Event 248439, Run 805, Split 53: Ecm = 2.20, Z = 257.99: B
339 Event 4684847, Run 683, Split 66: Ecm = 2.20, Z = 342.65: B
340 Event 369796, Run 769, Split 79: Ecm = 2.21, Z = 262.44: C
341 Event 861414, Run 818, Split 86: Ecm = 2.21, Z = 231.52: D
342 Event 2057657, Run 754, Split 58: Ecm = 2.21, Z = 243.62: A
343 Event 830744, Run 810, Split 78: Ecm = 2.21, Z = 278.38: B
344 Event 475473, Run 668, Split 24: Ecm = 2.21, Z = 269.35: A
345 Event 1008456, Run 851, Split 12: Ecm = 2.21, Z = 229.53: A
346 Event 674328, Run 841, Split 51: Ecm = 2.22, Z = 370.17: B
347 Event 1224934, Run 851, Split 59: Ecm = 2.22, Z = 251.51: E
348 Event 780569, Run 675, Split 9: Ecm = 2.22, Z = 269.06: A
349 Event 207316, Run 666, Split 42: Ecm = 2.22, Z = 267.26: A
350 Event 1682133, Run 677, Split 35: Ecm = 2.23, Z = 232.79: D
351 Event 2620947, Run 944, Split 8: Ecm = 2.23, Z = 267.10: C
352 Event 3849672, Run 827, Split 48: Ecm = 2.23, Z = 224.86: A
353 Event 1083505, Run 752, Split 49: Ecm = 2.23, Z = 285.26: A
354 Event 323330, Run 854, Split 69: Ecm = 2.23, Z = 322.00: B
355 Event 590670, Run 686, Split 22: Ecm = 2.23, Z = 281.01: B
356 Event 1638054, Run 820, Split 57: Ecm = 2.24, Z = 270.07: E
357 Event 174033, Run 659, Split 30: Ecm = 2.24, Z = 218.86: A
358 Event 5118283, Run 830, Split 29: Ecm = 2.24, Z = 240.08: A
359 Event 1561019, Run 843, Split 33: Ecm = 2.25, Z = 278.19: B
360 Event 1808825, Run 791, Split 84: Ecm = 2.25, Z = 240.47: D
361 Event 4564027, Run 683, Split 41: Ecm = 2.25, Z = 246.04: D
362 Event 1575098, Run 665, Split 17: Ecm = 2.25, Z = 253.77: A
